No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,[FBC2017] J065633.4-555633.4,104.13917,-55.94261,G,87150.0,0.2907,SUN,,16.158,1,0,0,1,1,0,0
2,[FBC2017] J065633.4-555633.0,104.13917,-55.9425,G,87150.0,0.2907,SUN,,16.158,1,0,0,1,1,0,0
5,WISEA J065633.58-555543.2,104.13994,-55.92869,IrS,74948.0,0.25,PUN,,16.185,1,0,12,2,1,0,0
10,[FBC2017] J065634.8-555943.4,104.145,-55.99539,G,87569.0,0.2921,SUN,,16.154,1,0,0,1,2,0,0
11,[FBC2017] J065634.8-555943.7,104.145,-55.99547,G,87240.0,0.291,SUN,,16.155,1,0,0,1,1,0,0
12,[FBC2017] J065635.0-555840.1,104.14583,-55.97781,G,86940.0,0.29,PUN,,15.993,1,0,0,1,1,0,0
13,[FBC2017] J065635.1-555852.0,104.14625,-55.98111,G,107925.0,0.36,PUN,,15.999,1,0,0,1,1,0,0
14,[FBC2017] J065635.1-555754.4,104.14625,-55.96511,G,92936.0,0.31,PUN,,15.926,1,0,0,1,1,0,0
18,[FBC2017] J065635.6-555923.3,104.14833,-55.98981,G,107925.0,0.36,PUN,,15.994,1,0,0,1,1,0,0
19,[FBC2017] J065635.6-555829.5,104.14833,-55.97486,G,86940.0,0.29,PUN,,15.894,1,0,0,1,1,0,0
20,[FBC2017] J065635.7-555823.3,104.14875,-55.97314,G,113921.0,0.38,PUN,,15.872,1,0,0,1,1,0,0
21,WISEA J065635.77-555917.0,104.14908,-55.98808,IrS,101929.0,0.34,PUN,,15.955,1,0,12,2,1,0,0
27,[FBC2017] J065636.4-555900.2,104.15167,-55.98339,G,98932.0,0.33,PUN,,15.834,1,0,0,1,1,0,0
29,[FBC2017] J065636.9-555944.5,104.15375,-55.99569,G,113921.0,0.38,PUN,,15.868,1,0,0,1,1,0,0
32,[FBC2017] J065637.3-555401.5,104.15542,-55.90042,G,80944.0,0.27,PUN,,15.913,1,0,0,1,1,0,0
35,WISEA J065637.67-555413.1,104.15699,-55.90365,IrS,86940.0,0.29,PUN,,15.824,1,0,12,2,1,0,0
38,[FBC2017] J065637.8-555539.8,104.1575,-55.92772,G,68952.0,0.23,PUN,,15.603,1,0,0,1,1,0,0
39,WISEA J065637.94-555907.4,104.15811,-55.98541,IrS,87150.0,0.2907,SUN,,15.634,1,0,12,2,1,0,0
40,[FBC2017] J065638.0-555428.5,104.15833,-55.90792,G,89938.0,0.3,PUN,,15.734,1,0,0,1,1,0,0
45,[FBC2017] J065638.3-555903.8,104.15958,-55.98439,G,87150.0,0.2907,SUN,,15.577,1,0,0,1,1,0,0
46,WISEA J065638.42-555824.3,104.16011,-55.97343,IrS,80944.0,0.27,PUN,,15.493,1,0,12,2,1,0,0
52,[FBC2017] J065638.7-555836.3,104.16125,-55.97675,G,89938.0,0.3,PUN,,15.472,1,0,0,1,1,0,0
55,WISEA J065639.00-555448.9,104.16253,-55.91359,IrS,74948.0,0.25,PUN,,15.54,1,0,12,2,1,0,0
57,WISEA J065639.23-555939.3,104.16346,-55.99427,IrS,89938.0,0.3,PUN,,15.532,1,0,12,2,1,0,0
58,[FBC2017] J065639.3-555645.0,104.16375,-55.94583,G,104927.0,0.35,PUN,,15.326,1,0,0,1,1,0,0
61,[FBC2017] J065639.5-555937.2,104.16458,-55.99367,G,101929.0,0.34,PUN,,15.489,1,0,0,1,1,0,0
62,[FBC2017] J065639.5-555432.0,104.16458,-55.90889,G,83942.0,0.28,PUN,,15.517,1,0,0,1,1,0,0
64,[FBC2017] J065639.8-560205.3,104.16583,-56.03481,G,101929.0,0.34,PUN,,16.027,1,0,0,1,1,0,0
71,WISEA J065640.36-555540.5,104.1682,-55.92792,IrS,89938.0,0.3,PUN,,15.244,1,0,18,3,1,0,0
73,[FBC2017] J065640.6-555708.7,104.16917,-55.95242,G,87090.0,0.2905,SUN,,15.139,1,0,0,1,1,0,0
74,[FBC2017] J065640.6-555708.5,104.16917,-55.95236,G,87090.0,0.2905,SUN,,15.139,1,0,0,1,1,0,0
