No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
26,[OCN2009] J201052.78-564742.2,302.71996,-56.79508,*,24.0,8e-05,SLS,18.6r,14.299,2,0,0,1,1,0,0
31,ABELL 3667:[SCS92] 052 NOTES01,302.72183,-56.83919,G,9298.0,0.031015,SUN,,13.985,2,0,0,1,1,0,0
32,2MASS J20105329-5650216,302.72206,-56.83935,G,19295.0,0.064361,UUN,16.7V,13.977,12,0,7,5,3,0,0
40,2MASS J20105368-5651480,302.72354,-56.86314,*,3.0,1e-05,SLS,17.5r,13.999,2,0,6,2,1,0,0
42,WISEA J201053.87-565512.6,302.72412,-56.92035,G,17526.0,0.05846,SLS,19.4V,14.727,6,0,12,6,2,0,0
51,WISEA J201054.92-564700.8,302.72887,-56.78356,G,15604.0,0.05205,SLS,18.6V,14.16,5,0,18,5,1,0,0
61,[OCN2009] J201056.07-564535.6,302.73363,-56.75989,*,117.0,0.00039,SLS,18.5r,14.416,2,0,0,1,1,0,0
116,WISEA J201100.42-564556.2,302.75175,-56.76562,G,17783.0,0.059318,UUN,15.3V,13.74,15,0,29,7,4,2,0
117,[OCN2009] J201100.43-564610.2,302.75183,-56.7695,*,9.0,3e-05,SLS,18.0r,13.664,2,0,0,1,1,0,0
120,[OCN2009] J201100.52-564702.1,302.75217,-56.78394,G,34731.0,0.11585,SLS,17.9r,13.412,1,0,0,1,1,0,0
125,WINGS J201100.79-564702.5,302.7533,-56.78396,G,34710.0,0.11578,SLS,19.1V,13.375,5,0,0,4,1,0,0
130,[OCN2009] J201101.00-564623.0,302.75421,-56.77308,*,114.0,0.00038,SLS,18.5r,13.525,2,0,0,1,1,0,0
139,WISEA J201101.24-565246.2,302.75507,-56.87968,G,15454.0,0.05155,SLS,19.9V,13.116,6,0,12,6,2,0,0
146,WISEA J201102.10-565128.8,302.75876,-56.858,*,135.0,0.00045,SLS,17.6r,12.82,2,0,12,2,1,0,0
154,[OCN2009] J201102.77-564604.6,302.76154,-56.76797,*,57.0,0.00019,SLS,17.4r,13.39,2,0,0,1,1,0,0
161,WISEA J201103.61-565040.5,302.76498,-56.84463,G,16713.0,0.05575,SLS,19.3V,12.572,5,0,12,4,1,0,0
178,WISEA J201104.62-565253.7,302.76928,-56.88159,*,3.0,1e-05,SLS,18.4r,12.68,2,0,12,2,1,0,0
