No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
326,WISEA J063727.71-540356.9,99.3655,-54.06582,G,54745.0,0.182609,PUN,,12.698,1,0,27,4,1,2,0
1139,WISEA J063806.81-534948.6,99.5284,-53.83017,G,42846.0,0.142918,PUN,,9.385,1,0,27,4,1,2,0
1406,WISEA J063816.66-540026.7,99.56944,-54.00744,G,25334.0,0.084505,PUN,14.84,4.758,2,0,27,5,1,2,0
1421,WISEA J063817.26-534431.3,99.57194,-53.74205,G,30917.0,0.103128,SLS,17.4b,13.581,3,0,27,5,3,2,0
1517,2MASS J06382075-5400033,99.58648,-54.00092,IrS,24981.0,0.083327,PUN,,4.043,1,0,6,3,1,0,0
1929,WISEA J063835.48-535812.5,99.64784,-53.97015,G,69209.0,0.230856,SLS,,1.208,1,0,20,4,1,0,0
1976,WISEA J063836.95-535900.5,99.65396,-53.98348,G,67225.0,0.224238,SLS,,1.643,1,0,12,2,1,0,0
2011,[GSB2009] J063838.16-535807.7,99.659,-53.96881,*,376.0,0.001254,SLS,,0.84,1,0,0,1,1,0,0
2040,WISEA J063839.12-535942.0,99.66304,-53.99502,G,66953.0,0.223331,SLS,,2.175,1,0,12,2,1,0,0
2118,WISEA J063841.83-535813.5,99.67433,-53.97044,G,68373.0,0.228067,SLS,,0.65,1,0,12,2,1,0,0
2168,WISEA J063843.41-535918.8,99.68088,-53.98856,G,68387.0,0.228114,SLS,,1.735,1,0,18,3,1,0,0
2198,PLCKESZ G263.1-23:[AJF2017] S,99.68453,-53.97413,GClstr,68053.0,0.227,UUN,,0.902,1,0,0,1,1,0,0
2223,WISEA J063845.15-535822.4,99.68813,-53.97289,G,67035.0,0.223604,SLS,,0.88,7,0,35,7,3,2,0
2261,2MASS J06384627-5358154,99.69292,-53.97089,G,69858.0,0.233021,SLS,,0.871,1,0,6,2,1,0,0
2306,ABELL S0592,99.69768,-53.97453,GClstr,67753.0,0.226,UUN,17.3J,1.146,60,0,2,21,28,0,0
2320,PSZRX G263.13-23.43,99.69936,-53.96638,XrayS,67933.0,0.2266,SST,,0.88,1,0,0,1,1,0,0
2323,WISEA J063847.92-535814.8,99.69967,-53.97079,G,66480.0,0.221753,SLS,,1.036,1,0,12,2,1,0,0
2339,PLCKESZ G263.1-23:[AJF2017] P,99.70225,-53.97391,GClstr,68053.0,0.227,UUN,,1.229,1,0,0,1,1,0,0
2342,WISEA J063848.65-535824.4,99.70271,-53.97347,G,67935.0,0.226606,SLS,,1.222,5,0,26,6,3,2,0
2385,WISEA J063849.95-535810.3,99.70814,-53.96953,G,68037.0,0.226947,SLS,,1.242,1,0,12,2,1,0,0
2431,WISEA J063851.48-535822.0,99.71454,-53.97279,G,65282.0,0.217757,SLS,,1.535,1,0,12,2,1,0,0
2504,PSZ2 G263.14-23.41,99.7245,-53.9814,GClstr,67933.0,0.2266,SUN,,2.118,6,0,0,2,2,0,0
2609,WISEA J063857.58-535534.2,99.73993,-53.92617,G,72305.0,0.241183,PUN,,2.995,1,0,27,4,1,2,0
2914,WISEA J063907.95-540638.8,99.78314,-54.11079,G,47600.0,0.158776,PUN,,9.803,3,0,27,5,1,2,0
3639,WISEA J063936.34-540150.0,99.90144,-54.03056,G,27942.0,0.093204,PUN,,8.981,2,0,27,5,1,2,0
3967,WISEA J063951.00-540101.5,99.96254,-54.01711,G,42312.0,0.141138,PUN,,10.64,1,0,33,5,1,2,0
4396,WISEA J064018.03-535853.6,100.07515,-53.98156,G,31001.0,0.103408,SLS,17.8b,14.108,1,0,27,4,3,2,0
