No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
282,eRASS1 J072049.1-732018,110.2029,-73.3391,GClstr,19337.0,0.0645,UUN,,12.63,1,0,0,1,1,0,0
284,WISEA J072048.51-732017.4,110.20299,-73.33788,G,19350.0,0.064545,SLS,18.8b,12.664,3,0,27,5,3,2,0
330,WISEA J072054.14-733000.5,110.2256,-73.50014,G,33481.0,0.111682,PUN,,11.275,1,0,27,4,1,2,0
1199,WISEA J072218.36-734001.4,110.57654,-73.66706,G,24957.0,0.083246,PUN,,14.436,1,0,27,4,1,2,0
1291,[MS2023] WDF-P-0050,110.60577,-73.47358,G,197863.0,0.66,PUN,,4.66,1,0,0,1,1,0,0
1307,[MS2023] WDF-P-1195,110.61219,-73.47918,G,872396.0,2.91,PUN,,4.722,1,0,0,1,2,0,0
1308,[HOO2023] F150DA-052,110.61225,-73.47606,G,473672.0,1.58,PSE,,4.629,1,0,0,1,1,0,0
1316,[MS2023] WDF-P-0949,110.61479,-73.47742,G,3258744.0,10.87,PUN,,4.631,1,0,0,1,1,0,0
1318,[ACF2023] 01514,110.61509,-73.47755,G,2952956.0,9.85,PSE,,4.631,3,0,0,2,5,0,0
1342,[MS2023] WDF-P-0930,110.62034,-73.47607,G,2377355.0,7.93,PUN,,4.509,1,0,0,1,2,0,0
1345,[MS2023] WDF-P-2702,110.62254,-73.48923,G,380736.0,1.27,PUN,,4.912,1,0,0,1,2,0,0
1347,[DMD2023] 007606,110.62317,-73.48491,G,2964948.0,9.89,PUN,,4.751,1,0,0,1,2,0,0
1348,[MS2023] WDF-P-0178,110.62359,-73.47081,G,4143132.0,13.82,PUN,,4.314,1,0,0,1,2,0,0
1362,[MS2023] WDF-P-2555,110.62753,-73.48447,G,1007303.0,3.36,PUN,,4.675,1,0,0,1,2,0,0
1363,[MS2023] WDF-P-0822,110.62808,-73.47384,G,2089554.0,6.97,PUN,,4.329,1,0,0,1,2,0,0
1375,[HOO2023] F200DA-061,110.63204,-73.47739,G,1471981.0,4.91,PSE,,4.376,1,0,0,1,1,0,0
1388,[HOO2023] F200DA-089,110.63513,-73.46856,G,4715736.0,15.73,PSE,,4.078,1,0,0,1,1,0,0
1389,[HOO2023] SM-z12-1,110.63579,-73.47592,G,3738412.0,12.47,PUN,,4.276,3,0,0,3,2,0,0
1397,[RBI2023] SCHACHER,110.63858,-73.48643,G,140902.0,0.47,PUN,,4.593,2,0,0,2,2,0,0
1401,[HOO2023] F150DA-024,110.63942,-73.48597,G,785456.0,2.62,PSE,,4.565,1,0,0,1,1,0,0
1406,[RBI2023] KABERLABA,110.64054,-73.46765,G,1801753.0,6.01,PUN,,3.971,1,0,0,1,2,0,0
1407,[MS2023] WDF-P-3653,110.64064,-73.489,G,2197479.0,7.33,PUN,,4.662,1,0,0,1,2,0,0
1420,[MS2023] WDF-P-4197,110.64458,-73.49165,G,2149512.0,7.17,PUN,,4.715,1,0,0,1,2,0,0
1423,[HOO2023] F200DA-098,110.645,-73.46672,G,1672842.0,5.58,PSE,,3.878,1,0,0,1,1,0,0
1427,[MS2023] WDF-P-2190,110.64584,-73.47839,G,1379046.0,4.6,PUN,,4.21,1,0,0,1,2,0,0
1429,[DMD2023] 012218,110.64618,-73.47585,G,2901991.0,9.68,PUN,,4.122,2,0,0,3,5,0,0
1430,[ACF2023] 02779,110.64618,-73.47585,G,2851027.0,9.51,PSE,,4.122,2,0,0,2,4,0,0
1434,[DMD2023] 003398,110.64737,-73.49407,G,2901991.0,9.68,PUN,,4.778,1,0,0,1,2,0,0
