No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
697,WISEA J115015.64-281015.1,177.56519,-28.17089,IrS,174131.0,0.58084,SUN,,8.932,1,0,12,2,1,0,0
721,WISEA J115016.36-280653.8,177.5682,-28.11496,IrS,99328.0,0.331324,SUN,,7.359,1,0,12,2,1,0,0
727,WISEA J115016.57-280641.7,177.56907,-28.11158,IrS,74290.0,0.247804,SUN,,7.267,1,0,12,2,1,0,0
734,WISEA J115016.96-280953.6,177.57067,-28.16491,IrS,72650.0,0.242335,SUN,,8.49,1,0,12,2,1,0,0
761,PLCK G287.0+32.9:[GDW2019] 005,177.57369,-28.14448,G,251622.0,0.83932,SUN,,7.72,1,0,0,1,1,0,0
772,PLCK G287.0+32.9:[GDW2019] 006,177.5744,-28.11935,G,103207.0,0.344261,SUN,,7.113,1,0,0,1,1,0,0
822,WISEA J115019.43-280919.9,177.581,-28.15555,IrS,209624.0,0.699231,SUN,,7.723,1,0,12,2,1,0,0
854,WISEA J115020.65-281037.4,177.58606,-28.17708,IrS,99197.0,0.330884,SUN,,8.299,1,0,12,2,1,0,0
866,PLCK G287.0+32.9:[GDW2019] 009,177.58718,-28.19684,G,91314.0,0.304591,SUN,,9.092,1,0,0,1,1,0,0
889,WISEA J115022.00-280837.5,177.59171,-28.14376,IrS,152747.0,0.509509,SUN,,6.867,1,0,12,2,1,0,0
939,PLCK G287.0+32.9:[GDW2019] 011,177.59784,-28.15927,G,99207.0,0.33092,SUN,,7.133,1,0,0,1,1,0,0
943,WISEA J115023.63-281006.1,177.59849,-28.16838,IrS,93013.0,0.310258,SUN,,7.461,1,0,12,2,1,0,0
954,PLCK G287.0+32.9:[GDW2019] 013,177.60054,-28.17833,G,213224.0,0.711239,SUN,,7.799,1,0,0,1,1,0,0
978,WISEA J115024.99-280721.5,177.60413,-28.12266,IrS,115945.0,0.386751,SUN,,5.701,1,0,12,2,1,0,0
984,WISEA J115025.18-280615.9,177.60493,-28.10444,IrS,114726.0,0.382685,SUN,,5.321,1,0,12,2,1,0,0
1019,WISEA J115026.28-281035.1,177.60952,-28.17642,IrS,215945.0,0.720314,SUN,,7.39,1,0,12,2,1,0,0
1048,PLCK G287.0+32.9:[GDW2019] 017,177.61365,-28.04167,G,142056.0,0.473849,SUN,,5.393,1,0,0,1,1,0,0
1089,WISEA J115028.68-280349.6,177.61953,-28.06378,IrS,113900.0,0.37993,SUN,,4.595,1,0,12,2,1,0,0
1112,PLCK G287.0+32.9:[GDW2019] 019,177.62317,-28.01291,G,116383.0,0.388212,SUN,,6.042,1,0,0,1,1,0,0
1116,WISEA J115029.67-280911.6,177.62364,-28.15324,IrS,134079.0,0.44724,SUN,,5.869,1,0,12,2,1,0,0
1119,PLCK G287.0+32.9:[GDW2019] 021,177.62392,-28.01825,G,233623.0,0.779283,SUN,,5.789,1,0,0,1,1,0,0
1135,WISEA J115030.17-280720.3,177.62573,-28.12232,IrS,70294.0,0.234476,SUN,,4.665,1,0,12,2,1,0,0
1139,PLCK G287.0+32.9:[GDW2019] 023,177.62679,-28.00631,G,116397.0,0.38826,SUN,,6.205,1,0,0,1,1,0,0
1141,PLCK G287.0+32.9:[GDW2019] 024,177.62707,-28.05479,G,230614.0,0.769245,SUN,,4.406,1,0,0,1,1,0,0
1166,PLCK G287.0+32.9:[GDW2019] 025,177.63059,-28.12523,G,105741.0,0.352714,SUN,,4.532,1,0,0,1,1,0,0
1191,WISEA J115032.36-280800.2,177.63484,-28.1334,IrS,105380.0,0.351511,SUN,,4.635,1,0,12,2,1,0,0
1192,PLCK G287.0+32.9:[GDW2019] 027,177.63494,-28.00925,G,233349.0,0.778368,SUN,,5.794,1,0,0,1,1,0,0
1197,WISEA J115032.58-280649.8,177.63579,-28.11385,IrS,111748.0,0.372752,SUN,,3.958,1,0,12,2,1,0,0
1198,PLCK G287.0+32.9:[GDW2019] 028,177.63589,-28.09452,G,84476.0,0.281783,SUN,,3.598,1,0,0,1,1,0,0
1210,WISEA J115033.17-280828.3,177.63822,-28.1412,IrS,105002.0,0.35025,SUN,,4.813,1,0,12,2,1,0,0
1252,PLCK G287.0+32.9:[GDW2019] 031,177.64259,-28.1086,G,114966.0,0.383484,SUN,,3.499,1,0,0,1,1,0,0
1255,WISEA J115034.37-280750.6,177.64322,-28.13072,IrS,198149.0,0.660955,SUN,,4.191,1,0,12,2,1,0,0
1287,PLCK G287.0+32.9:[GDW2019] 033,177.64707,-28.13204,G,82978.0,0.276786,SUN,,4.094,1,0,0,1,1,0,0
1291,PLCK G287.0+32.9:[GDW2019] 034,177.64749,-28.07997,G,117088.0,0.390564,SUN,,2.952,1,0,0,1,1,0,0
1292,WISEA J115035.46-280740.1,177.64776,-28.12782,IrS,105568.0,0.352137,SUN,,3.896,1,0,12,2,1,0,0
1295,WISEA J115035.49-275921.3,177.64788,-27.98927,IrS,112317.0,0.374649,SUN,,6.436,1,0,12,2,1,0,0
1297,WISEA J115035.57-280830.7,177.64823,-28.14189,IrS,116295.0,0.387917,SUN,,4.483,1,0,12,2,1,0,0
1305,PLCK G287.0+32.9:[GDW2019] 038,177.64914,-28.08369,G,100011.0,0.3336,SUN,,2.851,1,0,0,1,1,0,0
1313,WISEA J115036.03-280705.8,177.65015,-28.11828,IrS,114588.0,0.382223,SUN,,3.44,1,0,12,2,1,0,0
1314,PLCK G287.0+32.9:[GDW2019] 039,177.65018,-28.08047,G,86236.0,0.287651,SUN,,2.808,1,0,0,1,1,0,0
1317,PLCK G287.0+32.9:[GDW2019] 041,177.65048,-28.09464,G,131535.0,0.438753,SUN,,2.84,1,0,0,1,1,0,0
1322,WISEA J115036.26-280136.8,177.65109,-28.02689,IrS,114500.0,0.381932,SUN,,4.433,1,0,12,2,1,0,0
1333,PLCK G287.0+32.9:[GDW2019] 043,177.65358,-28.13602,G,117535.0,0.392054,SUN,,4.031,1,0,0,1,1,0,0
1335,PLCK G287.0+32.9:[GDW2019] 044,177.65369,-27.99239,G,158187.0,0.527656,SUN,,6.133,1,0,0,1,1,0,0
1340,PLCK G287.0+32.9:[GDW2019] 045,177.65398,-28.04767,G,114401.0,0.381601,SUN,,3.423,1,0,0,1,1,0,0
1345,WISEA J115037.08-280103.4,177.65452,-28.01762,IrS,115717.0,0.385991,SUN,,4.783,1,0,12,2,1,0,0
1357,WISEA J115037.40-280606.6,177.65587,-28.10184,IrS,93791.0,0.312852,SUN,,2.693,1,0,12,2,1,0,0
1358,PLCK G287.0+32.9:[GDW2019] 048,177.65588,-28.07769,G,118662.0,0.395813,SUN,,2.53,1,0,0,1,1,0,0
1362,WISEA J115037.67-280041.8,177.657,-28.01161,IrS,115918.0,0.38666,SUN,,5.025,1,0,12,2,1,0,0
1364,WISEA J115037.68-280436.9,177.65704,-28.07693,IrS,114419.0,0.381661,SUN,,2.478,1,0,12,2,1,0,0
1368,WISEA J115037.74-280654.5,177.65728,-28.11514,IrS,119110.0,0.397308,SUN,,3.024,1,0,12,2,1,0,0
1372,PLCK G287.0+32.9:[GDW2019] 052,177.65776,-28.03373,G,116619.0,0.388999,SUN,,3.892,1,0,0,1,1,0,0
1391,WISEA J115038.54-280330.2,177.66061,-28.05841,IrS,108957.0,0.363442,SUN,,2.749,1,0,12,2,1,0,0
1394,WISEA J115038.66-280755.7,177.66111,-28.13216,IrS,116073.0,0.387178,SUN,,3.6,1,0,12,2,1,0,0
1395,PLCK G287.0+32.9:[GDW2019] 055,177.66127,-28.00489,G,114297.0,0.381255,SUN,,5.284,1,0,0,1,1,0,0
1406,WISEA J115039.11-280020.8,177.66297,-28.0058,IrS,130960.0,0.436835,SUN,,5.196,1,0,12,2,1,0,0
1408,WISEA J115039.16-280647.7,177.66317,-28.11326,IrS,119194.0,0.397588,SUN,,2.709,1,0,12,2,1,0,0
1411,WISEA J115039.25-280201.4,177.66358,-28.03374,IrS,113564.0,0.378809,SUN,,3.71,1,0,12,2,1,0,0
1416,WISEA J115039.45-280529.1,177.66438,-28.09143,IrS,114537.0,0.382053,SUN,,2.081,1,0,12,2,1,0,0
1440,WISEA J115040.07-280057.2,177.66698,-28.0159,G,18264.0,0.060922,SUN,13.67,4.556,9,0,27,6,4,2,0
1445,WISEA J115040.23-280137.8,177.66766,-28.02717,IrS,116094.0,0.387249,SUN,,3.935,1,0,12,2,1,0,0
1447,WISEA J115040.30-280210.1,177.66795,-28.03616,IrS,116105.0,0.387284,SUN,,3.462,1,0,12,2,1,0,0
1449,WISEA J115040.35-275823.8,177.66813,-27.9733,IrS,131159.0,0.437499,SUN,,6.944,1,0,12,2,1,0,0
1461,WISEA J115040.62-280131.8,177.66926,-28.02552,IrS,116150.0,0.387435,SUN,,3.984,1,0,12,2,1,0,0
1464,PLCK G287.0+32.9:[GDW2019] 065,177.66949,-28.08356,G,113642.0,0.379068,SUN,,1.774,1,0,0,1,1,0,0
1465,WISEA J115040.70-275950.1,177.6696,-27.99728,IrS,51943.0,0.173263,SUN,,5.545,1,0,12,2,1,0,0
1473,PLCK G287.0+32.9:[GDW2019] 067,177.67013,-28.02055,G,114785.0,0.382881,SUN,,4.233,1,0,0,1,1,0,0
1481,WISEA J115041.16-280043.0,177.67151,-28.01196,IrS,115666.0,0.385819,SUN,,4.682,1,0,12,2,1,0,0
1483,WISEA J115041.18-275811.4,177.6716,-27.96984,IrS,131046.0,0.437121,SUN,,7.1,1,0,12,2,1,0,0
1495,PLCK G287.0+32.9:[GDW2019] 070,177.67341,-28.11153,G,70404.0,0.234842,SUN,,2.237,1,0,0,1,1,0,0
1500,WISEA J115041.77-280318.2,177.67407,-28.05506,IrS,115963.0,0.38681,SUN,,2.354,1,0,12,2,1,0,0
1505,WISEA J115041.88-275822.1,177.67451,-27.97283,IrS,131051.0,0.437138,SUN,,6.89,1,0,12,2,1,0,0
1506,WISEA J115041.92-280334.5,177.67468,-28.05959,IrS,98769.0,0.329457,SUN,,2.132,1,0,12,2,1,0,0
1517,PLCK G287.0+32.9:[GDW2019] 075,177.67646,-28.0604,G,115151.0,0.384102,SUN,,2.032,1,0,0,1,1,0,0
1519,WISEA J115042.38-280153.9,177.67661,-28.03166,IrS,114071.0,0.380501,SUN,,3.485,1,0,12,2,1,0,0
1520,PLCK G287.0+32.9:[GDW2019] 076,177.67664,-28.03528,G,84230.0,0.280961,SUN,,3.286,1,0,0,1,1,0,0
1521,WISEA J115042.40-280021.7,177.67667,-28.00605,IrS,117191.0,0.390908,SUN,,4.931,1,0,12,2,1,0,0
1522,PLCK G287.0+32.9:[GDW2019] 078,177.67674,-28.00219,G,168260.0,0.561256,SUN,,5.152,1,0,0,1,1,0,0
1524,WISEA J115042.42-280047.2,177.67677,-28.01313,IrS,111661.0,0.372462,SUN,,4.523,1,0,12,2,1,0,0
1527,WISEA J115042.45-280350.3,177.67689,-28.06399,IrS,103677.0,0.345828,SUN,,1.865,1,0,12,2,1,0,0
1534,WISEA J115042.57-280546.2,177.67738,-28.09618,IrS,119423.0,0.398351,SUN,,1.515,1,0,12,2,1,0,0
1539,WISEA J115042.77-275835.0,177.67824,-27.9764,IrS,130787.0,0.436259,SUN,,6.64,1,0,12,2,1,0,0
1540,WISEA J115042.80-275823.9,177.67835,-27.97333,IrS,116199.0,0.387597,SUN,,6.819,1,0,12,2,1,0,0
1560,WISEA J115043.34-280243.4,177.68059,-28.04539,IrS,116232.0,0.387707,SUN,,2.649,1,0,12,2,1,0,0
1562,PLCK G287.0+32.9:[GDW2019] 085,177.68096,-28.0086,G,112669.0,0.375824,SUN,,4.723,1,0,0,1,1,0,0
1571,PLCK G287+32:[ZSM2017] 12.2,177.68166,-28.08718,G_Lens,1040280.0,3.47,PUN,,1.137,1,0,0,1,1,0,0
1574,PLCK G287+32:[ZSM2017] c12.3,177.68168,-28.08708,VisS,1007303.0,3.36,PUN,,1.135,1,0,0,1,1,0,0
1579,PLCK G287.0+32.9:[GDW2019] 086,177.68196,-28.11168,G,116341.0,0.388071,SUN,,1.955,1,0,0,1,1,0,0
1583,PLCK G287+32:[ZSM2017] 12.1,177.6821,-28.08855,G_Lens,1028288.0,3.43,PUN,,1.127,1,0,0,1,1,0,0
1596,PLCK G287+32:[ZSM2017] c11.2,177.6836,-28.08629,VisS,26981.0,0.09,PUN,,1.03,1,0,0,1,1,0,0
1598,PLCK G287+32:[ZSM2017] c11.1,177.6837,-28.08596,VisS,29979.0,0.1,PUN,,1.022,1,0,0,1,1,0,0
1599,PLCK G287+32:[ZSM2017] c11.3,177.68418,-28.08817,VisS,26981.0,0.09,PUN,,1.015,1,0,0,1,1,0,0
1602,WISEA J115044.25-280114.3,177.6844,-28.02064,IrS,114113.0,0.380641,SUN,,3.978,1,0,12,2,1,0,0
1611,WISEA J115044.65-280313.2,177.68605,-28.05368,IrS,112730.0,0.376028,SUN,,2.075,1,0,12,2,1,0,0
1618,WISEA J115044.77-280101.0,177.68658,-28.01696,IrS,130445.0,0.435118,SUN,,4.167,1,0,12,2,1,0,0
1619,WISEA J115044.80-280340.6,177.68671,-28.06128,IrS,112711.0,0.375963,SUN,,1.658,1,0,12,2,1,0,0
1624,WISEA J115044.90-275850.2,177.68709,-27.98062,IrS,118058.0,0.393799,SUN,,6.312,1,0,12,2,1,0,0
1626,PLCK G287+32:[ZSM2017] 10.2,177.6872,-28.08446,G_Lens,290799.0,0.97,PUN,,0.835,1,0,0,1,1,0,0
1628,PLCK G287+32:[ZSM2017] 10.1,177.68726,-28.08405,G_Lens,293797.0,0.98,PUN,,0.834,1,0,0,1,1,0,0
1629,WISEA J115044.96-275830.9,177.68734,-27.97527,IrS,130507.0,0.435323,SUN,,6.628,1,0,12,2,1,0,0
1631,PLCK G287+32:[ZSM2017] 10.3,177.68747,-28.08515,G_Lens,305788.0,1.02,PUN,,0.821,1,0,0,1,1,0,0
1640,WISEA J115045.06-280555.2,177.68777,-28.09867,IrS,115986.0,0.386889,SUN,,1.155,1,0,12,2,1,0,0
1641,PLCK G287.0+32.9:[SCB2020]2013,177.6878,-28.07609,G,2260435.0,7.54,PUN,,0.961,2,0,0,2,2,0,0
1643,WISEA J115045.09-280504.2,177.68788,-28.08451,IrS,422250.0,1.408474,SUN,,0.799,1,0,12,2,1,0,0
1647,PLCK G287.0+32.9:[GDW2019] 095,177.68811,-28.06,G,115622.0,0.385673,SUN,,1.688,1,0,0,1,1,0,0
1651,PLCK G287+32:[ZSM2017] c18.2,177.68856,-28.08924,VisS,1019294.0,3.4,PUN,,0.807,1,0,0,1,1,0,0
1652,WISEA J115045.26-280925.2,177.68861,-28.15701,IrS,93466.0,0.311769,SUN,,4.394,1,0,12,2,1,0,0
1653,PLCK G287+32:[ZSM2017] c18.1,177.68863,-28.08777,VisS,176878.0,0.59,PUN,,0.779,1,0,0,1,1,0,0
1654,PLCK G287.0+32.9:[GDW2019] 097,177.68868,-28.06398,G,98910.0,0.329927,SUN,,1.465,1,0,0,1,1,0,0
1656,PLCK G287.0+32.9:[GDW2019] 099,177.68874,-28.16586,G,93666.0,0.312436,SUN,,4.917,1,0,0,1,1,0,0
1657,WISEA J115045.29-280208.8,177.68874,-28.03578,IrS,115237.0,0.384388,SUN,,3.041,1,0,12,2,1,0,0
1658,PLCK G287.0+32.9:[GDW2019] 100,177.68884,-28.07753,G,292206.0,0.974694,SUN,,0.869,1,0,0,1,1,0,0
1662,PLCK G287.0+32.9:[GDW2019] 101,177.68898,-28.02315,G,115980.0,0.386866,SUN,,3.777,1,0,0,1,1,0,0
1663,PLCK G287+32:[ZSM2017] c17.2,177.68907,-28.08566,VisS,956338.0,3.19,PUN,,0.738,1,0,0,1,1,0,0
1664,PLCK G287+32:[ZSM2017] c17.1,177.68915,-28.08359,VisS,248828.0,0.83,PUN,,0.736,1,0,0,1,1,0,0
1666,WISEA J115045.47-281817.0,177.68949,-28.30473,G,41374.0,0.138009,PUN,,13.21,1,0,27,4,1,2,0
1668,PLCK G287.0+32.9:[GDW2019] 102,177.68982,-28.15768,G,93592.0,0.312189,SUN,,4.423,1,0,0,1,1,0,0
1673,WISEA J115045.69-281000.9,177.69041,-28.16693,IrS,117880.0,0.393205,SUN,,4.968,1,0,12,2,1,0,0
