No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
379,WISEA J151415.19-153242.6,228.56326,-15.5453,G,76961.0,0.256714,PUN,,16.081,1,0,27,4,1,2,0
1577,WISEA J151451.50-152348.5,228.71459,-15.39682,G,62167.0,0.207368,PUN,,3.624,1,0,27,4,1,2,0
1612,[GSB2009] J151452.54-152443.9,228.71892,-15.41219,G,88728.0,0.295964,SLS,,4.078,1,0,0,1,1,0,0
1801,MCXC J1514.9-1523,228.73763,-15.3868,GClstr,66734.0,0.2226,UUN,,2.222,37,0,0,7,12,0,0
1823,WISEA J151457.43-152024.9,228.73932,-15.34027,IrS,65715.0,0.2192,PUN,,1.893,2,0,35,5,1,0,0
1837,WISEA J151457.70-152344.4,228.74046,-15.39569,G,66732.0,0.222594,SLS,,2.536,4,0,27,5,3,2,0
1862,[RMT2022] 1515-1517_0698,228.7442,-15.2704,G,2296411.0,7.66,PUN,,5.525,2,0,0,1,2,0,0
1870,WISEA J151458.92-152125.0,228.74552,-15.35697,G,66608.0,0.22218,SLS,,1.119,2,0,21,5,1,0,0
1894,WISEA J151459.38-152325.0,228.74743,-15.39028,G,31798.0,0.106067,SLS,,2.049,1,0,12,2,1,0,0
1929,PSZRX G346.60+35.05,228.75093,-15.37978,XrayS,66734.0,0.2226,SST,,1.405,1,0,0,1,1,0,0
1942,PSZ2 G346.61+35.06,228.7524,-15.3566,GClstr,66734.0,0.2226,SUN,,0.738,11,0,0,4,4,0,0
1949,RXC J1514.9-1523:[SCB2020]0395,228.75301,-15.37742,G,1704320.0,5.685,PUN,,1.221,1,0,0,1,1,0,0
2003,WISEA J151501.83-152142.1,228.75763,-15.36171,G,64566.0,0.215369,SLS,,0.407,1,0,18,3,1,0,0
2017,RXC J1514.9-1523:[SCB2020]0550,228.75854,-15.38289,G,1776271.0,5.925,PUN,,1.394,1,0,0,1,1,0,0
2032,eRASS1 J151501.6-152331,228.7601,-15.3806,GClstr,67064.0,0.2237,UUN,,1.24,1,0,0,1,1,0,0
2057,WISEA J151503.04-152153.3,228.7627,-15.36481,G,94.0,0.000314,SLS,,0.287,3,0,27,4,2,2,0
2124,WISEA J151504.64-151923.4,228.76936,-15.32318,IrS,86550.0,0.2887,PUN,,2.249,1,0,28,3,1,0,0
2458,WISEA J151514.10-151818.2,228.80876,-15.30507,G,69800.0,0.232828,PUN,,4.19,1,0,27,4,1,2,0
3405,WISEA J151539.47-151003.2,228.91446,-15.16757,IrS,77501.0,0.258515,PUN,0.30,14.462,1,0,27,4,1,2,0
3483,WISEA J151541.60-150902.1,228.92334,-15.15061,G,68363.0,0.228035,PUN,,15.586,1,0,27,4,1,2,0
3733,WISEA J151549.97-153025.5,228.95823,-15.50709,G,46841.0,0.156244,PUN,,14.247,1,0,27,4,1,2,0
